20 Seconds,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
RPI --> Laptop ,,,,
element,median,mean,stdev,var
capsfilter0,0.091961,0.108065,0.0623399,0.00388626
openh264enc0,23.5174,24.165,5.10963,26.1084
queue0,0.187646,1.19843,4.82556,23.286
queue1,0.42342,0.502547,0.380899,0.145084
queue2,0.162998,0.266186,0.376632,0.141851
queue3,0.107388,0.28623,0.578322,0.334456
rtph264pay0,0.257996,0.288264,0.168591,0.0284228
rtpstreampay0,0.104758,0.131343,0.0907724,0.00823964
Total Time,24.853567,26.946065,11.5927463,50.05633970000001
Laptop --> Process Frames,,,,
element,median,mean,stdev,var
capsfilter0,0.032687,0.0348336,0.0126205,0.000159278
h264parse0,0.064592,0.0689663,0.0446263,0.0019915
openh264dec0,1.4959,1.54657,0.456806,0.208671
openh264enc0,3.42568,3.54213,0.949654,0.901842
queue0,0.037766,0.0498755,0.0320256,0.00102564
rtph264depay0,0.044923,0.0441458,0.0111383,0.000124061
rtph264pay0,0.07735,0.0802137,0.0183748,0.000337632
rtpstreamdepay0,0.081359,0.0837938,0.0375922,0.00141317
rtpstreampay0,0.031477,0.0305096,0.0080281,6.44503e-05
t,0.0671795,0.0764315,0.118835,0.0141219
Total Time,5.3589135,5.557469799999999,1.6897008,1.1297506312999996
Laptop processed frames ---> RPI Display,,,,
element,median,mean,stdev,var
capsfilter0,0.116646,0.128974,0.0626368,0.00392337
h264parse0,0.192386,0.230618,0.160463,0.0257483
openh264dec0,7.29684,8.06117,2.75483,7.58909
rtph264depay0,0.130184,0.154863,0.104585,0.010938
rtpstreamdepay0,0.262126,0.297976,0.146167,0.0213646
Total Time,7.998182000000001,8.873601,3.2286818000000004,7.65106427
