0:00:00.082153898 31802   0xeb1060 DEBUG             GST_TRACER gsttracer.c:164:gst_tracer_register:<registry0> update existing feature 0xd36488 (latency)
0:00:00.082321803 31802   0xeb1060 DEBUG             GST_TRACER gsttracer.c:164:gst_tracer_register:<registry0> update existing feature 0xd36500 (log)
0:00:00.082373692 31802   0xeb1060 DEBUG             GST_TRACER gsttracer.c:164:gst_tracer_register:<registry0> update existing feature 0xd36578 (rusage)
0:00:00.082423414 31802   0xeb1060 DEBUG             GST_TRACER gsttracer.c:164:gst_tracer_register:<registry0> update existing feature 0xd365f0 (stats)
0:00:00.082485783 31802   0xeb1060 DEBUG             GST_TRACER gsttracer.c:164:gst_tracer_register:<registry0> update existing feature 0xd36668 (leaks)
0:00:00.082762558 31802   0xeb1060 TRACE             GST_TRACER gsttracerrecord.c:111:gst_tracer_record_build_format: latency.class, src=(structure)"scope\,\ type\=\(type\)gchararray\,\ related-to\=\(GstTracerValueScope\)GST_TRACER_VALUE_SCOPE_PAD\;", sink=(structure)"scope\,\ type\=\(type\)gchararray\,\ related-to\=\(GstTracerValueScope\)GST_TRACER_VALUE_SCOPE_PAD\;", time=(structure)"value\,\ type\=\(type\)guint64\,\ description\=\(string\)\"time\\\ it\\\ took\\\ for\\\ the\\\ buffer\\\ to\\\ go\\\ from\\\ src\\\ to\\\ sink\\\ ns\"\,\ min\=\(guint64\)0\,\ max\=\(guint64\)18446744073709551615\;", ts=(structure)"value\,\ type\=\(type\)guint64\,\ description\=\(string\)\"ts\\\ when\\\ the\\\ latency\\\ has\\\ been\\\ logged\"\,\ min\=\(guint64\)0\,\ max\=\(guint64\)18446744073709551615\;";
0:00:00.082819928 31802   0xeb1060 DEBUG             GST_TRACER gsttracerrecord.c:125:gst_tracer_record_build_format: new format string: latency, src=(string)%s, sink=(string)%s, time=(guint64)%llu, ts=(guint64)%llu;
0:00:00.340190245 31802 0xb4703380 TRACE             GST_TRACER :0:: latency, src=(string)videotestsrc0_src, sink=(string)autovideosink0-actual-sink-xvimage_sink, time=(guint64)136301873, ts=(guint64)340088060;
0:00:00.454233930 31802 0xb4703380 TRACE             GST_TRACER :0:: latency, src=(string)videotestsrc0_src, sink=(string)autovideosink0-actual-sink-xvimage_sink, time=(guint64)169302982, ts=(guint64)454179449;
0:00:00.859253443 31802 0xb4703380 TRACE             GST_TRACER :0:: latency, src=(string)videotestsrc0_src, sink=(string)autovideosink0-actual-sink-xvimage_sink, time=(guint64)44466820, ts=(guint64)859219499;
0:00:01.504426586 31802 0xb4703380 TRACE             GST_TRACER :0:: latency, src=(string)videotestsrc0_src, sink=(string)autovideosink0-actual-sink-xvimage_sink, time=(guint64)44938093, ts=(guint64)1504391549;
0:00:02.514058026 31802 0xb4703380 TRACE             GST_TRACER :0:: latency, src=(string)videotestsrc0_src, sink=(string)autovideosink0-actual-sink-xvimage_sink, time=(guint64)44805093, ts=(guint64)2514024433;
0:00:04.042548402 31802 0xb4703380 TRACE             GST_TRACER :0:: latency, src=(string)videotestsrc0_src, sink=(string)autovideosink0-actual-sink-xvimage_sink, time=(guint64)44769094, ts=(guint64)4042515310;
0:00:06.395232011 31802 0xb4703380 TRACE             GST_TRACER :0:: latency, src=(string)videotestsrc0_src, sink=(string)autovideosink0-actual-sink-xvimage_sink, time=(guint64)44641169, ts=(guint64)6395197474;
0:00:09.975767807 31802 0xb4703380 TRACE             GST_TRACER :0:: latency, src=(string)videotestsrc0_src, sink=(string)autovideosink0-actual-sink-xvimage_sink, time=(guint64)44550985, ts=(guint64)9975728288;
0:00:15.412289058 31802 0xb4703380 TRACE             GST_TRACER :0:: latency, src=(string)videotestsrc0_src, sink=(string)autovideosink0-actual-sink-xvimage_sink, time=(guint64)44739871, ts=(guint64)15412248354;
0:00:23.553319033 31802 0xb4703380 TRACE             GST_TRACER :0:: latency, src=(string)videotestsrc0_src, sink=(string)autovideosink0-actual-sink-xvimage_sink, time=(guint64)44601076, ts=(guint64)23553283441;
0:00:35.788092007 31802 0xb4703380 TRACE             GST_TRACER :0:: latency, src=(string)videotestsrc0_src, sink=(string)autovideosink0-actual-sink-xvimage_sink, time=(guint64)44633742, ts=(guint64)35788053859;
